Country,Date,Number of confirmed cases
France,4/1/2021,4661841
France,4/2/2021,4708648
France,4/3/2021,4707488
France,4/4/2021,4788117
France,4/5/2021,4799078
France,4/6/2021,4807123
France,4/7/2021,4807123
France,4/8/2021,4903965
France,4/9/2021,4903965
France,4/10/2021,4903965
France,4/11/2021,5021865
France,4/12/2021,5030401
France,4/13/2021,5068534
France,4/14/2021,5111882
France,4/15/2021,5149776
France,4/16/2021,5186109
France,4/17/2021,5221888
France,4/18/2021,5249622
France,4/19/2021,5256318
France,4/20/2021,5300321
France,4/21/2021,5334144
France,4/22/2021,5367544
France,4/23/2021,5399600
France,4/24/2021,5432085
France,4/25/2021,5456417
France,4/26/2021,5460793
France,4/27/2021,5490025
France,4/28/2021,5521227
France,4/29/2021,5547670
France,4/30/2021,5571804
France,5/1/2021,5597295
Italy,4/1/2021,3607083
Italy,4/2/2021,3629000
Italy,4/3/2021,3650247
Italy,4/4/2021,3668264
Italy,4/5/2021,3678944
Italy,4/6/2021,3686707
Italy,4/7/2021,3700393
Italy,4/8/2021,3717602
Italy,4/9/2021,3736526
Italy,4/10/2021,3754077
Italy,4/11/2021,3769814
Italy,4/12/2021,3779594
Italy,4/13/2021,3793033
Italy,4/14/2021,3809193
Italy,4/15/2021,3826156
Italy,4/16/2021,3842079
Italy,4/17/2021,3857443
Italy,4/18/2021,3870131
Italy,4/19/2021,3878994
Italy,4/20/2021,3891063
Italy,4/21/2021,3904899
Italy,4/22/2021,3920945
Italy,4/23/2021,3935703
Italy,4/24/2021,3949517
Italy,4/25/2021,3962674
Italy,4/26/2021,3971114
Italy,4/27/2021,3981512
Italy,4/28/2021,3994894
Italy,4/29/2021,4009208
Italy,4/30/2021,4022653
Italy,5/1/2021,4035617
US,4/1/2021,30541255
US,4/2/2021,30611086
US,4/3/2021,30674153
US,4/4/2021,30709125
US,4/5/2021,30786804
US,4/6/2021,30847348
US,4/7/2021,30922386
US,4/8/2021,31002264
US,4/9/2021,31084962
US,4/10/2021,31151497
US,4/11/2021,31197877
US,4/12/2021,31268107
US,4/13/2021,31345985
US,4/14/2021,31421360
US,4/15/2021,31495649
US,4/16/2021,31575640
US,4/17/2021,31628013
US,4/18/2021,31670031
US,4/19/2021,31737964
US,4/20/2021,31799237
US,4/21/2021,31862094
US,4/22/2021,31929351
US,4/23/2021,31991750
US,4/24/2021,32045113
US,4/25/2021,32077178
US,4/26/2021,32124869
US,4/27/2021,32175725
US,4/28/2021,32230850
US,4/29/2021,32289049
US,4/30/2021,32346971
US,5/1/2021,32392274
Vietnam,4/1/2021,2617
Vietnam,4/2/2021,2620
Vietnam,4/3/2021,2626
Vietnam,4/4/2021,2631
Vietnam,4/5/2021,2637
Vietnam,4/6/2021,2648
Vietnam,4/7/2021,2659
Vietnam,4/8/2021,2668
Vietnam,4/9/2021,2683
Vietnam,4/10/2021,2692
Vietnam,4/11/2021,2693
Vietnam,4/12/2021,2705
Vietnam,4/13/2021,2714
Vietnam,4/14/2021,2733
Vietnam,4/15/2021,2758
Vietnam,4/16/2021,2772
Vietnam,4/17/2021,2781
Vietnam,4/18/2021,2785
Vietnam,4/19/2021,2791
Vietnam,4/20/2021,2800
Vietnam,4/21/2021,2812
Vietnam,4/22/2021,2824
Vietnam,4/23/2021,2830
Vietnam,4/24/2021,2833
Vietnam,4/25/2021,2843
Vietnam,4/26/2021,2852
Vietnam,4/27/2021,2857
Vietnam,4/28/2021,2865
Vietnam,4/29/2021,2910
Vietnam,4/30/2021,2928
Vietnam,5/1/2021,2942
