Country;Date;Number of confirmed cases
France;04/01;56362
France;04/02;58404
France;04/03;63588
France;04/04;46483
France;04/05;47299
France;04/06;49934
France;04/07;46400
France;04/08;50242
France;04/09;54003
France;04/10;55538
France;04/11;56972
France;04/12;107712
France;04/13;110836
France;04/14;128272
France;04/15;131476
France;04/16;144035
France;04/17;145896
France;04/18;149683
France;04/19;150752
France;04/20;153197
France;04/21;155821
France;04/22;157603
France;04/23;155881
France;04/24;158653
France;04/25;160295
France;04/26;160907
France;04/27;164592
France;04/28;167650
France;04/29;166193
France;04/30;167326
France;05/01;167846
Italy;04/01;110574
Italy;04/02;115242
Italy;04/03;119827
Italy;04/04;124632
Italy;04/05;128948
Italy;04/06;132547
Italy;04/07;135586
Italy;04/08;139422
Italy;04/09;143626
Italy;04/10;147577
Italy;04/11;152271
Italy;04/12;156363
Italy;04/13;159516
Italy;04/14;162488
Italy;04/15;165155
Italy;04/16;168941
Italy;04/17;172434
Italy;04/18;175925
Italy;04/19;178972
Italy;04/20;181228
Italy;04/21;183957
Italy;04/22;187327
Italy;04/23;189973
Italy;04/24;192994
Italy;04/25;195351
Italy;04/26;197675
Italy;04/27;199414
Italy;04/28;201505
Italy;04/29;203591
Italy;04/30;205463
Italy;05/01;207428
US;04/01;224560
US;04/02;256792
US;04/03;289087
US;04/04;321477
US;04/05;351354
US;04/06;382747
US;04/07;413516
US;04/08;444731
US;04/09;480667
US;04/10;515081
US;04/11;544183
US;04/12;571440
US;04/13;598380
US;04/14;627205
US;04/15;652611
US;04/16;682626
US;04/17;715656
US;04/18;743588
US;04/19;769684
US;04/20;799512
US;04/21;825429
US;04/22;854288
US;04/23;887858
US;04/24;920185
US;04/25;950581
US;04/26;977082
US;04/27;1000785
US;04/28;1025362
US;04/29;1051800
US;04/30;1081020
US;05/01;1115946
Vietnam;04/01;218
Vietnam;04/02;233
Vietnam;04/03;237
Vietnam;04/04;240
Vietnam;04/05;241
Vietnam;04/06;245
Vietnam;04/07;249
Vietnam;04/08;251
Vietnam;04/09;255
Vietnam;04/10;257
Vietnam;04/11;258
Vietnam;04/12;262
Vietnam;04/13;265
Vietnam;04/14;266
Vietnam;04/15;267
Vietnam;04/16;268
Vietnam;04/17;268
Vietnam;04/18;268
Vietnam;04/19;268
Vietnam;04/20;268
Vietnam;04/21;268
Vietnam;04/22;268
Vietnam;04/23;268
Vietnam;04/24;270
Vietnam;04/25;270
Vietnam;04/26;270
Vietnam;04/27;270
Vietnam;04/28;270
Vietnam;04/29;270
Vietnam;04/30;270
Vietnam;05/01;270
