dt,AverageTemperature,AverageTemperatureUncertainty,Country,Latitude,Logitude
1/1/1913,-0.914,0.311,Denmark,57.05,10.33
1/1/1913,8.46,0.593,Turkey,40.99,27.69
1/1/1913,-18.601,1.414,Kazakhstan,50.63,82.39
1/1/1913,-16.259,1.952,China,44.2,87.2
1/1/1913,7.85,0.515,Spain,42.59,-8.73
1/1/1913,1.276,0.574,Germany,50.63,6.34
1/1/1913,-0.914,0.311,Denmark,57.05,10.33
1/1/1913,26.177,0.553,Nigeria,5.63,8.07
1/1/1913,13.951,0.874,Iran,29.74,48
1/1/1913,-24.874,5.117,Russia,53.84,91.36
1/1/1913,0.148,0.478,Canada,49.03,-122.45
1/1/1913,26.015,0.61,Côte D'Ivoire,7.23,4.05
1/1/1913,4.732,0.422,United Kingdom,57.05,-1.48
1/1/1913,19.09,1.235,Saudi Arabia,18.48,42.25
1/1/1913,1.214,0.345,Japan,36.17,139.23
1/1/1913,4.821,0.326,United States,32.95,-100.53
1/1/1913,12.174,0.443,India,29.74,73.85
1/1/1913,27.74,0.461,Benin,7.23,2.43
1/1/1913,18.248,0.797,United Arab Emirates,24.92,54.98
1/1/1913,25.464,0.393,Nigeria,16.87,-100.47
1/1/1913,24.669,1.218,Mexico,16.87,100.47
1/1/1913,26.681,0.55,Venezuela,8.84,-68.92
1/1/1913,26.149,0.377,Ghana,7.9465,-1.0232
1/1/1913,-28.087,3.159,Russia,57.05,90
1/1/1913,7.309,0.637,Mexico,16.87,-100.47
1/1/1913,12.8,0.699,Turkey,40.99,27.69
1/1/1913,17.643,0.598,Ethiopia,8.84,38.11
1/1/1913,21.787,0.347,Australia,-34.56,138.16
1/1/1913,20.711,1.718,Yemen,13.66,45.41
1/1/1913,26.116,0.34,Indonesia,-0.7893,113.9213
1/1/1913,3.767,0.682,Turkey,40.99,27.69
1/1/1913,11.001,0.664,Morocco,29.74,-9.23
1/1/1913,1.214,0.345,Japan,36.204824,138.252924
1/1/1913,12.545,0.877,Mexico,16.87,-100.47
1/1/1913,12.858,0.429,Pakistan,29.74,72
1/1/1913,12.781,1.017,Iran,31.35,49.01
1/1/1913,2.629,0.665,France,44.2,4.47
1/1/1913,12.066,0.894,Libya,31.35,20.73
1/1/1913,4.018,0.278,Japan,34.56,134.27
1/1/1913,1.214,0.345,Japan,36.17,139.23
1/1/1913,-0.34,0.183,Japan,39.38,139.42
1/1/1913,-4.057,0.295,United States,40.99,80.95
1/1/1913,3.365,0.626,Turkey,37.78,34.58
1/1/1913,0.068,0.725,Kazakhstan,44.2,51.43
1/1/1913,26.039,0.455,Nigeria,7.23,5.68
1/1/1913,22.061,0.311,Burma,20.09,92.13
1/1/1913,26.138,1.146,Brazil,-12.05,-37.81
1/1/1913,14.102,0.501,Turkey,36.17,31.82
1/1/1913,3.741,0.557,Spain,42.59,-8.73
1/1/1913,20.212,0.74,South Africa,-26.52,28.66
1/1/1913,-2.36,0.395,United States,32.95,-100.53
1/1/1913,2.63,0.361,Spain,42.59,-8.73
1/1/1913,2.63,0.361,Spain,42.59,-8.73
