Country;Date;Number of confirmed cases;;;;
France;01/04;56362;;;;
France;02/04;58404;;;;
France;03/04;63588;;;;
France;04/04;46483;;;;
France;05/04;47299;;;;
France;06/04;49934;;;;
France;07/04;46400;;;;
France;08/04;50242;;;;
France;09/04;54003;;;;
France;10/04;55538;;;;
France;11/04;56972;;;;
France;12/04;107712;;;;
France;13/04;110836;;;;
France;14/04;128272;;;;
France;15/04;131476;;;;
France;16/04;144035;;;;
France;17/04;145896;;;;
France;18/04;149683;;;;
France;19/04;150752;;;;
France;20/04;153197;;;;
France;21/04;155821;;;;
France;22/04;157603;;;;
France;23/04;155881;;;;
France;24/04;158653;;;;
France;25/04;160295;;;;
France;26/04;160907;;;;
France;27/04;164592;;;;
France;28/04;167650;;;;
France;29/04;166193;;;;
France;30/04;167326;;;;
France;01/05;167846;;;;
Italy;04/01;110574;;;;
Italy;02/04;115242;;;;
Italy;03/04;119827;;;;
Italy;04/04;124632;;;;
Italy;05/04;128948;;;;
Italy;06/04;132547;;;;
Italy;07/04;135586;;;;
Italy;08/04;139422;;;;
Italy;09/04;143626;;;;
Italy;10/04;147577;;;;
Italy;11/04;152271;;;;
Italy;12/04;156363;;;;
Italy;13/04;159516;;;;
Italy;14/04;162488;;;;
Italy;15/04;165155;;;;
Italy;16/04;168941;;;;
Italy;17/04;172434;;;;
Italy;18/04;175925;;;;
Italy;19/04;178972;;;;
Italy;20/04;181228;;;;
Italy;21/04;183957;;;;
Italy;22/04;187327;;;;
Italy;23/04;189973;;;;
Italy;24/04;192994;;;;
Italy;25/04;195351;;;;
Italy;26/04;197675;;;;
Italy;27/04;199414;;;;
Italy;28/04;201505;;;;
Italy;29/04;203591;;;;
Italy;30/04;205463;;;;
Italy;01/05;207428;;;;
US;01/04;224560;;;;
US;02/04;256792;;;;
US;03/04;289087;;;;
US;04/04;321477;;;;
US;05/04;351354;;;;
US;06/04;382747;;;;
US;07/04;413516;;;;
US;08/04;444731;;;;
US;09/04;480667;;;;
US;10/04;515081;;;;
US;11/04;544183;;;;
US;12/04;571440;;;;
US;13/04;598380;;;;
US;14/04;627205;;;;
US;15/04;652611;;;;
US;16/04;682626;;;;
US;17/04;715656;;;;
US;18/04;743588;;;;
US;19/04;769684;;;;
US;20/04;799512;;;;
US;21/04;825429;;;;
US;22/04;854288;;;;
US;23/04;887858;;;;
US;24/04;920185;;;;
US;25/04;950581;;;;
US;26/04;977082;;;;
US;27/04;1000785;;;;
US;28/04;1025362;;;;
US;29/04;1051800;;;;
US;30/04;1081020;;;;
US;01/05;1115946;;;;
Vietnam;01/04;218;;;;
Vietnam;02/04;233;;;;
Vietnam;03/04;237;;;;
Vietnam;04/04;240;;;;
Vietnam;05/04;241;;;;
Vietnam;06/04;245;;;;
Vietnam;07/04;249;;;;
Vietnam;08/04;251;;;;
Vietnam;09/04;255;;;;
Vietnam;10/04;257;;;;
Vietnam;11/04;258;;;;
Vietnam;12/04;262;;;;
Vietnam;13/04;265;;;;
Vietnam;14/04;266;;;;
Vietnam;15/04;267;;;;
Vietnam;16/04;268;;;;
Vietnam;17/04;268;;;;
Vietnam;18/04;268;;;;
Vietnam;19/04;268;;;;
Vietnam;20/04;268;;;;
Vietnam;21/04;268;;;;
Vietnam;22/04;268;;;;
Vietnam;23/04;268;;;;
Vietnam;24/04;270;;;;
Vietnam;25/04;270;;;;
Vietnam;26/04;270;;;;
Vietnam;27/04;270;;;;
Vietnam;28/04;270;;;;
Vietnam;29/04;270;;;;
Vietnam;30/04;270;;;;
Vietnam;01/05;270;;;;
