Country,Date,Confirmed
France,4/1/2021,56362
France,4/2/2021,58404
France,4/3/2021,63588
France,4/4/2021,46483
France,4/5/2021,47299
France,4/6/2021,49934
France,4/7/2021,46400
France,4/8/2021,50242
France,4/9/2021,54003
France,4/10/2021,55538
France,4/11/2021,56972
France,4/12/2021,107712
France,4/13/2021,110836
France,4/14/2021,128272
France,4/15/2021,131476
France,4/16/2021,144035
France,4/17/2021,145896
France,4/18/2021,149683
France,4/19/2021,150752
France,4/20/2021,153197
France,4/21/2021,155821
France,4/22/2021,157603
France,4/23/2021,155881
France,4/24/2021,158653
France,4/25/2021,160295
France,4/26/2021,160907
France,4/27/2021,164592
France,4/28/2021,167650
France,4/29/2021,166193
France,4/30/2021,167326
France,5/1/2021,167846
Italy,4/1/2021,110574
Italy,4/2/2021,115242
Italy,4/3/2021,119827
Italy,4/4/2021,124632
Italy,4/5/2021,128948
Italy,4/6/2021,132547
Italy,4/7/2021,135586
Italy,4/8/2021,139422
Italy,4/9/2021,143626
Italy,4/10/2021,147577
Italy,4/11/2021,152271
Italy,4/12/2021,156363
Italy,4/13/2021,159516
Italy,4/14/2021,162488
Italy,4/15/2021,165155
Italy,4/16/2021,168941
Italy,4/17/2021,172434
Italy,4/18/2021,175925
Italy,4/19/2021,178972
Italy,4/20/2021,181228
Italy,4/21/2021,183957
Italy,4/22/2021,187327
Italy,4/23/2021,189973
Italy,4/24/2021,192994
Italy,4/25/2021,195351
Italy,4/26/2021,197675
Italy,4/27/2021,199414
Italy,4/28/2021,201505
Italy,4/29/2021,203591
Italy,4/30/2021,205463
Italy,5/1/2021,207428
US,4/1/2021,224560
US,4/2/2021,256792
US,4/3/2021,289087
US,4/4/2021,321477
US,4/5/2021,351354
US,4/6/2021,382747
US,4/7/2021,413516
US,4/8/2021,444731
US,4/9/2021,480667
US,4/10/2021,515081
US,4/11/2021,544183
US,4/12/2021,571440
US,4/13/2021,598380
US,4/14/2021,627205
US,4/15/2021,652611
US,4/16/2021,682626
US,4/17/2021,715656
US,4/18/2021,743588
US,4/19/2021,769684
US,4/20/2021,799512
US,4/21/2021,825429
US,4/22/2021,854288
US,4/23/2021,887858
US,4/24/2021,920185
US,4/25/2021,950581
US,4/26/2021,977082
US,4/27/2021,1000785
US,4/28/2021,1025362
US,4/29/2021,1051800
US,4/30/2021,1081020
US,5/1/2021,1115946
Vietnam,4/1/2021,218
Vietnam,4/2/2021,233
Vietnam,4/3/2021,237
Vietnam,4/4/2021,240
Vietnam,4/5/2021,241
Vietnam,4/6/2021,245
Vietnam,4/7/2021,249
Vietnam,4/8/2021,251
Vietnam,4/9/2021,255
Vietnam,4/10/2021,257
Vietnam,4/11/2021,258
Vietnam,4/12/2021,262
Vietnam,4/13/2021,265
Vietnam,4/14/2021,266
Vietnam,4/15/2021,267
Vietnam,4/16/2021,268
Vietnam,4/17/2021,268
Vietnam,4/18/2021,268
Vietnam,4/19/2021,268
Vietnam,4/20/2021,268
Vietnam,4/21/2021,268
Vietnam,4/22/2021,268
Vietnam,4/23/2021,268
Vietnam,4/24/2021,270
Vietnam,4/25/2021,270
Vietnam,4/26/2021,270
Vietnam,4/27/2021,270
Vietnam,4/28/2021,270
Vietnam,4/29/2021,270
Vietnam,4/30/2021,270
Vietnam,5/1/2021,270
