Tỉnh thành;Ca nhiễm;Đang điều trị;Hồi phục;Tử vong
52 tỉnh thành;3.836;1.051;2.746;35
Hải Dương;773;8;765;0
Đà Nẵng;611;148;429;31
Hà Nội;462;209;252;0
TP. Hồ Chí Minh;273;23;250;0
Bắc Ninh;205;178;27;0
Bắc Giang;149;122;27;0
Khánh Hoà;140;33;107;0
Quảng Nam;131;3;115;3
Bà Rịa-Vũng Tàu;109;21;88;0
Vĩnh Phúc;100;81;19;0
Quảng Ninh;89;5;84;0
Hưng Yên;64;27;37;0
Thái Bình;58;20;38;0
Bạc Liêu;52;0;52;0
Bình Dương;45;1;44;0
Kiên Giang;39;20;19;0
Tây Ninh;38;2;36;0
Ninh Bình;36;2;34;0
Cần Thơ;34;17;17;0
Hoà Bình;32;7;25;0
Đồng Nai;29;7;22;0
Phú Yên;29;1;28;0
Đồng Tháp;28;0;28;0
Gia Lai;27;0;27;0
Hà Nam;26;18;8;0
Thanh Hoá;25;1;24;0
Nam Định;24;6;18;0
Bến Tre;20;0;20;0
Lạng Sơn;18;14;4;0
Quảng Trị;13;6;6;1
Sóc Trăng;13;13;0;0
Vĩnh Long;13;6;7;0
Hà Tĩnh;12;8;4;0
Ninh Thuận;12;0;12;0
Bình Thuận;11;1;10;0
Hải Phòng;10;1;9;0
Long An;10;4;6;0
An Giang;9;9;0;0
Cà Mau;8;0;8;0
Tiền Giang;8;2;6;0
Trà Vinh;8;0;8;0
Quảng Ngãi;7;1;6;0
Thừa Thiên-Huế;7;5;2;0
Đắk Lắk;6;3;3;0
Điện Biên;6;3;3;0
Thái Nguyên;6;2;4;0
Nghệ An;5;5;0;0
Phú Thọ;5;2;3;0
Yên Bái;5;5;0;0
Hà Giang;3;1;2;0
Lào Cai;2;0;2;0
Lai Châu;1;0;1;0
