location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Afghanistan,AFG,2021-04-22,240000,240000,,,8000,0.62,0.62,,206
Albania,ALB,2021-04-24,400064,,,8713,10746,13.9,,,3734
Algeria,DZA,2021-02-19,75000,,,,3748,0.17,,,85
Andorra,AND,2021-04-19,26414,21733,4681,,1050,34.19,28.13,6.06,13590
Angola,AGO,2021-04-23,456349,456349,,,16736,1.39,1.39,,509
Anguilla,AIA,2021-04-22,6898,6115,783,,106,45.98,40.76,5.22,7066
Antigua and Barbuda,ATG,2021-04-22,29754,29754,,,250,30.38,30.38,,2553
Argentina,ARG,2021-04-25,7134949,6263849,871100,117670,120877,15.79,13.86,1.93,2675
Armenia,ARM,2021-03-31,565,565,,,,0.02,0.02,,
Aruba,ABW,2021-04-25,73103,53161,19942,3824,2493,68.47,49.79,18.68,23350
Australia,AUS,2021-04-25,1934077,,,19730,62452,7.58,,,2449
Austria,AUT,2021-04-25,2827613,2045677,781936,27093,47031,31.4,22.71,8.68,5222
Azerbaijan,AZE,2021-04-25,1423295,939098,484197,10814,12276,14.04,9.26,4.78,1211
Bahamas,BHS,2021-04-21,21907,21907,,,767,5.57,5.57,,1950
Bahrain,BHR,2021-04-25,1180735,659990,520745,12085,14750,69.39,38.79,30.6,8668
Bangladesh,BGD,2021-04-24,7954176,5798880,2155296,,146862,4.83,3.52,1.31,892
Barbados,BRB,2021-04-23,71881,71881,,233,486,25.01,25.01,,1691
Belarus,BLR,2021-04-23,328500,244000,84500,,15029,3.48,2.58,0.89,1590
Belgium,BEL,2021-04-25,3431848,2682515,749333,5439,53806,29.61,23.15,6.47,4643
Belize,BLZ,2021-04-23,39330,39330,,1154,724,9.89,9.89,,1821
Bermuda,BMU,2021-04-19,52337,30094,22243,,731,84.04,48.33,35.72,11739
Bhutan,BTN,2021-04-25,479686,479686,,7,165,62.17,62.17,,214
Bolivia,BOL,2021-04-24,656613,465823,190790,9495,17177,5.63,3.99,1.63,1472
Bosnia and Herzegovina,BIH,2021-04-09,15000,,,,263,0.46,,,80
Botswana,BWA,2021-04-19,41612,41612,,,2367,1.77,1.77,,1007
Brazil,BRA,2021-04-25,38027113,26873143,11153970,296462,725721,17.89,12.64,5.25,3414
